0               , 7037484.00133438, 3238059.017922  , 2150724.18750257, -1465.65762724245, -40.958394892936, 6622.7976094225 
10              , 7022557.69489471, 3237525.25144425, 2216868.65750938, -1519.56862592139, -65.786870346281, 6606.01665353911
20              , 7007093.33378306, 3236743.44337488, 2282842.93034766, -1573.26813573932, -90.5664882621913, 6588.75863156256
30              , 6991093.04561663, 3235714.08901657, 2348642.2490275 , -1626.75361581525, -115.295905315817, 6571.02627724481
40              , 6974558.98327715, 3234437.69704155, 2414261.88388247, -1680.02255404266, -139.973790882085, 6552.82232148361
50              , 6957493.32462546, 3232914.78936559, 2479697.13253987, -1733.07246662912, -164.598826856767, 6534.14949209542
60              , 6939898.2722207 , 3231145.90102362, 2544943.31988887, -1785.90089763821, -189.169707477835, 6515.01051359843
70              , 6921776.05304394, 3229131.58004723, 2609995.79804643, -1838.50541853459, -213.685139147258, 6495.40810700522
80              , 6903128.91822653, 3226872.38734392, 2674849.94632131, -1890.88362773189, -238.14384025302, 6475.34498962509
90              , 6883959.14278278, 3224368.8965781 , 2739501.17117605, -1943.0331501436, -262.544540991651, 6454.82387487578
100             , 6864269.02534723, 3221621.69405391, 2803944.90618715, -1994.95163673665, -286.885983191337, 6433.84747210457
110             , 6844060.88791635, 3218631.37859982, 2868176.61200354, -2046.63676408851, -311.166920135386, 6412.4184864184 
120             , 6823337.07559459, 3215398.56145488, 2932191.77630333, -2098.08623394716, -335.386116386312, 6390.5396185231 
130             , 6802099.95634492, 3211923.86615688, 2995985.91374904, -2149.2977727944, -359.542347610552, 6368.21356457135
140             , 6780351.92074361, 3208207.92843215, 3059554.56594136, -2200.26913141234, -383.634400403759, 6345.44301601933
150             , 6758095.3817394 , 3204251.39608711, 3122893.3013715 , -2250.99808445299, -407.661072116826, 6322.23065949202
160             , 6735332.77441694, 3200054.92890167, 3185997.71537221, -2301.48243001164, -431.621170682505, 6298.5791766567 
170             , 6712066.5557645 , 3195619.19852418, 3248863.43006766, -2351.71998920326, -455.513514442899, 6274.49124410486
180             , 6688299.20444582, 3190944.88836827, 3311486.09432207, -2401.70860574246, -479.336931977613, 6249.96953324214
190             , 6664033.22057626, 3186032.69351127, 3373861.38368736, -2451.44614552701, -503.090261932728, 6225.01671018625
200             , 6639271.12550299, 3180883.32059444, 3435985.00034982, -2500.93049622475, -526.772352850545, 6199.63543567263
210             , 6614015.46158937, 3175497.48772485, 3497852.67307577, -2550.159566864 , -550.382063000292, 6173.82836496803
220             , 6588268.79200337, 3169875.92437894, 3559460.15715657, -2599.13128742782, -573.918260209637, 6147.59814779139
230             , 6562033.70051001, 3164019.37130777, 3620803.23435271, -2647.8436084515, -597.379821697067, 6120.94742824238
240             , 6535312.79126789, 3157928.58044397, 3681877.71283729, -2696.29450062402, -620.765633905209, 6093.87884473702
250             , 6508108.68862959, 3151604.3148103 , 3742679.42713894, -2744.481954393 , -644.074592335186, 6066.39502995067
260             , 6480424.03694603, 3145047.34842991, 3803204.23808411, -2792.40397957335, -667.305601381823, 6038.498610768  
270             , 6452261.5003748 , 3138258.46623823, 3863448.03273898, -2840.05860495974, -690.457574169891, 6010.19220823987
280             , 6423623.7626922 , 3131238.46399644, 3923406.72435091, -2887.4438779427, -713.529432391317, 5981.478437547  
290             , 6394513.52710928, 3123988.14820667, 3983076.25228956, -2934.5578641285, -736.520106143517, 5952.35990797047
300             , 6364933.51609148, 3116508.3360287 , 4042452.58198785, -2981.39864696286, -759.428533768668, 5922.83922286866
310             , 6334886.47118215, 3108799.85519834, 4101531.70488257, -3027.96432735827, -782.253661694122, 5892.91897966073
320             , 6304375.15282973, 3100863.54394734, 4160309.63835496, -3074.25302332549, -804.994444273768, 5862.60176981636
330             , 6273402.34021857, 3092700.25092497, 4218782.42567122, -3120.26286960833, -827.649843630716, 5831.89017885196
340             , 6241970.83110343, 3084310.83512106, 4276946.13592291, -3165.99201732283, -850.218829500847, 5800.78678633273
350             , 6210083.44164754, 3075696.16579064, 4334796.86396755, -3211.43863359981, -872.700379077634, 5769.29416588103
360             , 6177743.00626422, 3066857.1223802 , 4392330.73036922, -3256.60090123154, -895.093476858065, 5737.4148851905 
370             , 6144952.377462  , 3057794.59445535, 4449543.88133937, -3301.47701832214, -917.39711448967, 5705.15150604613
380             , 6111714.42569329, 3048509.48163011, 4506432.48867786, -3346.065197942 , -939.610290618743, 5672.50658434994
390             , 6078032.03920636, 3039002.6934977 , 4562992.74971429, -3390.36366778588, -961.732010739722, 5639.48267015244
400             , 6043908.12390083, 3029275.14956274, 4619220.88724964, -3434.37066983498, -983.76128704584, 5606.0823076896 
410             , 6009345.60318646, 3019327.77917506, 4675113.14949838, -3478.08446002297, -1005.69713828077, 5572.30803542521
420             , 5974347.41784531, 3009161.52146491, 4730665.81003094, -3521.50330790569, -1027.53858959171, 5538.16238609871
430             , 5938916.52589712, 2998777.32527966, 4785875.16771675, -3564.62549633502, -1049.28467238341, 5503.64788677818
440             , 5903055.90246795, 2988176.14912195, 4840737.54666777, -3607.44932113648, -1070.93442417366, 5468.76705891862
450             , 5866768.53966212, 2977358.96108928, 4895249.29618276, -3649.97309079057, -1092.48688844994, 5433.52241842535
460             , 5830057.44643714, 2966326.73881499, 4949406.79069203, -3692.19512611845, -1113.9411145272, 5397.91647572232
470             , 5792925.6484819 , 2955080.46941076, 5003206.42970304, -3734.11375997091, -1135.29615740704, 5361.95173582555
480             , 5755376.18809795, 2943621.14941039, 5056644.63774669, -3775.72733692191, -1156.5510776379, 5325.63069842118
