6.1489364441e+04	1.9942848034e-05	5.9576532708e-01	1.5745038395e+02	1.9089142457e+02	1.3838630037e+00	4.3555962847e-02	
6.1816347054e+04	1.9181799280e-05	5.7273018603e-01	1.5734783732e+02	1.9090070433e+02	1.3839946193e+00	4.3553845586e-02	
6.2145068466e+04	1.8445800701e-05	5.5046500890e-01	1.5724612917e+02	1.9091028778e+02	1.3841252575e+00	4.3551659250e-02	
6.2475537924e+04	1.7734188690e-05	5.2894871773e-01	1.5714566003e+02	1.9092018789e+02	1.3842543929e+00	4.3549400898e-02	
6.2807764721e+04	1.7046281580e-05	5.0816231496e-01	1.5704636615e+02	1.9093040114e+02	1.3843820598e+00	4.3547071353e-02	
6.3141758205e+04	1.6381368243e-05	4.8808611222e-01	1.5694815407e+02	1.9094092288e+02	1.3845083272e+00	4.3544671703e-02	
6.3477527769e+04	1.5738706715e-05	4.6869954271e-01	1.5685092689e+02	1.9095174819e+02	1.3846332665e+00	4.3542203092e-02	
6.3815082859e+04	1.5117523451e-05	4.4998113986e-01	1.5675458416e+02	1.9096287193e+02	1.3847569523e+00	4.3539666722e-02	
6.4154432968e+04	1.4517020388e-05	4.3190864235e-01	1.5665898474e+02	1.9097428875e+02	1.3848795089e+00	4.3537063836e-02	
6.4495587643e+04	1.3936593511e-05	4.1446252632e-01	1.5656290617e+02	1.9098599468e+02	1.3850024251e+00	4.3534395363e-02	
6.4838556480e+04	1.3375870041e-05	3.9762659813e-01	1.5646386452e+02	1.9099798741e+02	1.3851287822e+00	4.3531661851e-02	
6.5183349125e+04	1.2834472292e-05	3.8138415773e-01	1.5635923059e+02	1.9101026459e+02	1.3852618432e+00	4.3528863860e-02	
6.5529975278e+04	1.2312003791e-05	3.6571776348e-01	1.5624629189e+02	1.9102282367e+02	1.3854049748e+00	4.3526001987e-02	
6.5878444688e+04	1.1808048809e-05	3.5060921415e-01	1.5612225069e+02	1.9103566200e+02	1.3855616491e+00	4.3523076865e-02	
6.6228767158e+04	1.1322172722e-05	3.3603990680e-01	1.5598443845e+02	1.9104877759e+02	1.3857351805e+00	4.3520088967e-02	
6.6580952541e+04	1.0853931016e-05	3.2199509737e-01	1.5583277405e+02	1.9106217915e+02	1.3859256986e+00	4.3517036338e-02	
6.6935010743e+04	1.0402865782e-05	3.0846252373e-01	1.5566898122e+02	1.9107588291e+02	1.3861311120e+00	4.3513915320e-02	
6.7290951725e+04	9.9684986158e-06	2.9542941198e-01	1.5549487658e+02	1.9108990566e+02	1.3863492160e+00	4.3510722124e-02	
6.7648785497e+04	9.5503299922e-06	2.8288240606e-01	1.5531233856e+02	1.9110426465e+02	1.3865777308e+00	4.3507452857e-02	
6.8008522126e+04	9.1478387550e-06	2.7080755364e-01	1.5512330884e+02	1.9111897760e+02	1.3868142997e+00	4.3504103523e-02	
6.8370171730e+04	8.7604815951e-06	2.5919029161e-01	1.5492979374e+02	1.9113406270e+02	1.3870564875e+00	4.3500670017e-02	
6.8733744481e+04	8.3876925194e-06	2.4801543136e-01	1.5473386568e+02	1.9114953863e+02	1.3873017789e+00	4.3497148126e-02	
