% This is an US standard atmosphere 1976 table with altitude, density, pressure and temperature.	1.7	8
% The altitude goes from -5 to 100 km with steps of 100 m and then with steps of 1000m.	1.7	8
7800	0.53818	36692	237.51	1.7	8
7900	0.53196	36169	236.86	1.7	8
8000	0.52579	35652	236.22	1.7	8
8100	0.51967	35140	235.57	1.7	8
8200	0.51361	34635	234.92	1.7	8
8300	0.50761	34136	234.27	1.7	8
8400	0.50165	33642	233.62	1.7	8
8500	0.49576	33154	232.97	1.7	8
8600	0.48991	32672	232.33	1.7	8
8700	0.48412	32196	231.68	1.7	8
8800	0.47838	31725	231.03	1.7	8
8900	0.4727	31260	230.38	1.7	8
9000	0.46706	30801	229.73	1.7	8
9100	0.46148	30347	229.08	1.7	8
9200	0.45595	29898	228.44	1.7	8
9300	0.45047	29455	227.79	1.7	8
9400	0.44504	29017	227.14	1.7	8
9500	0.43966	28585	226.49	1.7	8
9600	0.43433	28157	225.84	1.7	8
9700	0.42905	27735	225.2	1.7	8
9800	0.42382	27318	224.55	1.7	8
9900	0.41864	26907	223.9	1.7	8
10000	0.41351	26500	223.25	1.7	8
10100	0.40843	26098	222.6	1.7	8
10200	0.40339	25701	221.96	1.7	8
10300	0.3984	25309	221.31	1.7	8
10400	0.39346	24922	220.66	1.7	8
10500	0.38857	24540	220.01	1.7	8
10600	0.38372	24163	219.36	1.7	8
10700	0.37892	23790	218.72	1.7	8
10800	0.37417	23422	218.07	1.7	8
10900	0.36946	23059	217.42	1.7	8
11000	0.3648	22700	216.77	1.7	8
11100	0.35932	22346	216.65	1.7	8
11200	0.35372	21998	216.65	1.7	8
11300	0.3482	21655	216.65	1.7	8
11400	0.34277	21317	216.65	1.7	8
11500	0.33743	20985	216.65	1.7	8
11600	0.33217	20658	216.65	1.7	8
11700	0.32699	20336	216.65	1.7	8
11800	0.32189	20019	216.65	1.7	8
11900	0.31688	19707	216.65	1.7	8
12000	0.31194	19399	216.65	1.7	8
12100	0.30708	19097	216.65	1.7	8
12200	0.30229	18799	216.65	1.7	8
12300	0.29758	18506	216.65	1.7	8
12400	0.29294	18218	216.65	1.7	8
12500	0.28838	17934	216.65	1.7	8
12600	0.28388	17655	216.65	1.7	8
12700	0.27946	17379	216.65	1.7	8
12800	0.2751	17109	216.65	1.7	8
12900	0.27082	16842	216.65	1.7	8
13000	0.2666	16580	216.65	1.7	8
13100	0.26244	16321	216.65	1.7	8
13200	0.25835	16067	216.65	1.7	8
13300	0.25433	15817	216.65	1.7	8
13400	0.25037	15570	216.65	1.7	8
13500	0.24646	15328	216.65	1.7	8
13600	0.24262	15089	216.65	1.7	8
13700	0.23885	14854	216.65	1.7	8
13800	0.23512	14622	216.65	1.7	8
13900	0.23146	14395	216.65	1.7	8
14000	0.22786	14170	216.65	1.7	8
14100	0.22431	13950	216.65	1.7	8
14200	0.22081	13732	216.65	1.7	8
14300	0.21737	13518	216.65	1.7	8
14400	0.21399	13308	216.65	1.7	8
14500	0.21066	13101	216.65	1.7	8
14600	0.20737	12897	216.65	1.7	8
14700	0.20414	12696	216.65	1.7	8
14800	0.20097	12498	216.65	1.7	8
14900	0.19784	12303	216.65	1.7	8
15000	0.19476	12112	216.65	1.7	8
15100	0.19172	11923	216.65	1.7	8
15200	0.18874	11738	216.65	1.7	8
15300	0.1858	11555	216.65	1.7	8
15400	0.18291	11375	216.65	1.7	8
15500	0.18006	11198	216.65	1.7	8
15600	0.17725	11023	216.65	1.7	8
15700	0.17449	10852	216.65	1.7	8
15800	0.17178	10683	216.65	1.7	8
15900	0.1691	10517	216.65	1.7	8
16000	0.16647	10353	216.65	1.7	8
16100	0.16388	10192	216.65	1.7	8
16200	0.16133	10033	216.65	1.7	8
16300	0.15882	9876.8	216.65	1.7	8
16400	0.15635	9723.1	216.65	1.7	8
16500	0.15391	9571.8	216.65	1.7	8
16600	0.15152	9422.8	216.65	1.7	8
16700	0.14916	9276.1	216.65	1.7	8
16800	0.14684	9131.8	216.65	1.7	8
16900	0.14455	8989.6	216.65	1.7	8
17000	0.1423	8849.7	216.65	1.7	8
17100	0.14009	8712	216.65	1.7	8
17200	0.13791	8576.4	216.65	1.7	8
17300	0.13576	8443	216.65	1.7	8
17400	0.13365	8311.6	216.65	1.7	8
17500	0.13157	8182.3	216.65	1.7	8
17600	0.12952	8055	216.65	1.7	8
17700	0.12751	7929.6	216.65	1.7	8
17800	0.12552	7806.2	216.65	1.7	8
17900	0.12357	7684.8	216.65	1.7	8
18000	0.12165	7565.2	216.65	1.7	8
18100	0.11975	7447.5	216.65	1.7	8
18200	0.11789	7331.7	216.65	1.7	8
18300	0.11606	7217.6	216.65	1.7	8
18400	0.11425	7105.3	216.65	1.7	8
18500	0.11247	6994.8	216.65	1.7	8
18600	0.11073	6886	216.65	1.7	8
18700	0.109	6778.9	216.65	1.7	8
18800	0.10731	6673.5	216.65	1.7	8
18900	0.10564	6569.7	216.65	1.7	8
19000	0.104	6467.5	216.65	1.7	8
19100	0.10238	6366.9	216.65	1.7	8
19200	0.10079	6267.9	216.65	1.7	8
19300	0.099219	6170.4	216.65	1.7	8
19400	0.097676	6074.5	216.65	1.7	8
19500	0.096157	5980	216.65	1.7	8
19600	0.094662	5887	216.65	1.7	8
19700	0.09319	5795.5	216.65	1.7	8
19800	0.091741	5705.4	216.65	1.7	8
19900	0.090314	5616.6	216.65	1.7	8
20000	0.08891	5529.3	216.65	1.7	8
20100	0.087513	5443.3	216.69	1.7	8
20200	0.086113	5358.8	216.79	1.7	8
20300	0.084737	5275.5	216.89	1.7	8
20400	0.083383	5193.6	216.98	1.7	8
20500	0.082051	5113	217.08	1.7	8
20600	0.080742	5033.7	217.18	1.7	8
20700	0.079454	4955.7	217.28	1.7	8
20800	0.078187	4878.9	217.38	1.7	8
20900	0.076941	4803.3	217.48	1.7	8
21000	0.075715	4728.9	217.58	1.7	8
21100	0.074509	4655.8	217.68	1.7	8
21200	0.073323	4583.8	217.78	1.7	8
21300	0.072157	4512.9	217.88	1.7	8
21400	0.07101	4443.2	217.98	1.7	8
21500	0.069881	4374.6	218.08	1.7	8
21600	0.068771	4307	218.18	1.7	8
21700	0.067679	4240.6	218.28	1.7	8
21800	0.066605	4175.2	218.38	1.7	8
21900	0.065549	4110.8	218.47	1.7	8
22000	0.06451	4047.5	218.57	1.7	8
22100	0.063488	3985.2	218.67	1.7	8
22200	0.062482	3923.8	218.77	1.7	8
22300	0.061493	3863.5	218.87	1.7	8
22400	0.06052	3804.1	218.97	1.7	8
22500	0.059563	3745.6	219.07	1.7	8
22600	0.058621	3688.1	219.17	1.7	8
22700	0.057695	3631.4	219.27	1.7	8
22800	0.056784	3575.7	219.37	1.7	8
22900	0.055887	3520.8	219.47	1.7	8
23000	0.055006	3466.9	219.57	1.7	8
23100	0.054138	3413.7	219.67	1.7	8
23200	0.053285	3361.4	219.77	1.7	8
23300	0.052445	3310	219.86	1.7	8
23400	0.05162	3259.3	219.96	1.7	8
23500	0.050807	3209.5	220.06	1.7	8
23600	0.050008	3160.4	220.16	1.7	8
23700	0.049221	3112.1	220.26	1.7	8
23800	0.048448	3064.6	220.36	1.7	8
23900	0.047687	3017.8	220.46	1.7	8
24000	0.046938	2971.7	220.56	1.7	8
24100	0.046201	2926.4	220.66	1.7	8
24200	0.045476	2881.8	220.76	1.7	8
24300	0.044763	2837.9	220.86	1.7	8
24400	0.044062	2794.7	220.96	1.7	8
24500	0.043372	2752.1	221.06	1.7	8
24600	0.042693	2710.3	221.16	1.7	8
24700	0.042024	2669	221.25	1.7	8
24800	0.041367	2628.5	221.35	1.7	8
24900	0.04072	2588.5	221.45	1.7	8
25000	0.040084	2549.2	221.55	1.7	8
25100	0.039458	2510.5	221.65	1.7	8
25200	0.038842	2472.4	221.75	1.7	8
25300	0.038236	2434.9	221.85	1.7	8
25400	0.037639	2398	221.95	1.7	8
25500	0.037052	2361.7	222.05	1.7	8
25600	0.036475	2325.9	222.15	1.7	8
25700	0.035907	2290.7	222.25	1.7	8
25800	0.035348	2256.1	222.35	1.7	8
25900	0.034798	2222	222.44	1.7	8
26000	0.034257	2188.4	222.54	1.7	8
26100	0.033724	2155.3	222.64	1.7	8
26200	0.0332	2122.8	222.74	1.7	8
26300	0.032684	2090.7	222.84	1.7	8
