9985600           -122294580230.848  -89675142338.436  29247451.0888457  17153.7569495618  -24135.1810191509  0.846004769403663
9986500           -122279140539.089  -89696862678.6087  29248213.760945   17156.6631344716  -24132.241125405  0.84853504789905
9987400           -122263698248.293  -89718580371.5705  29248977.9142734  17159.5323577811  -24129.2982593299  0.84927268121588
9988300           -122248253392.356  -89740295414.4539  29249741.8697768  17162.3632081862  -24126.3519861085  0.848069845000977
9989200           -122232806006.473  -89762007803.9807  29250503.8101342  17165.1542079665  -24123.4018283711  0.844766944622931
9990100           -122217356127.2   -89783717536.423  29251261.7687205  17167.9038096844  -24120.4472621462  0.839191613290557
9991000           -122201903792.52  -89805424607.5582  29252013.6176268  17170.610392759   -24117.4877124114  0.831157619341642
9991900           -122186449041.907  -89827129012.6218  29252757.0546537  17173.2722599186  -24114.5225482045  0.820463674229306
9992800           -122170991916.399  -89848830746.2538  29253489.5891827  17175.8876335415  -24111.5510772499  0.806892131997107
9993700           -122155532458.672  -89870529802.4419  29254208.5268262  17178.4546518952  -24108.5725400514  0.790207570230415
9994600           -122140070713.116  -89892226174.4571  29254910.952741   17180.9713652914  -24105.5861033972  0.770155241632637
9995500           -122124606725.917  -89913919854.785  29255593.7134874  17183.4357321763  -24102.5908532198  0.746459384493573
9996400           -122109140545.142  -89935610835.0492  29256253.3972987  17185.8456151841  -24099.5857867447  0.718821379406555
9997300           -122093672220.825  -89957299105.9276  29256886.3126171  17188.1987771873  -24096.5698038594  0.686917738656481
9998200           -122078201805.06  -89978984657.0606  29257488.4647403  17190.4928773864  -24093.5416976263  0.650397913767387
9999100           -122062729352.097  -90000667476.9506  29258055.5304067  17192.7254674928  -24090.5001438572  0.608881905788314
10000000          -122047254918.438  -90022347552.8512  29258582.8301352  17194.8939880699  -24087.4436896602  0.56195766202812
10000900          -122031778562.94  -90044024870.6456  29259065.2981194  17196.9957651135  -24084.3707408655  0.509178242196189
10001800          -122016300346.92  -90065699414.7137  29259497.4494611  17199.0280069676  -24081.279548227  0.450058736279956
10002700          -122000820334.26  -90087371167.7857  29259873.3445116  17200.9878016943  -24078.1681922932  0.384072916107795
10003600          -121985338591.52  -90109040110.7815  29260186.5500725  17202.8721150409  -24075.0345668364  0.310649602459702
10004500          -121969855188.043  -90130706222.6346  29260430.0971922  17204.6777891717  -24071.8763607221  0.229168729944654
10005400          -121954370196.074  -90152369480.0989  29260596.4352783  17206.4015423704  -24068.6910381025  0.138957092791392
10006300          -121938883690.863  -90174029857.537  29260677.3822327  17208.0399699519  -24065.4758168152  0.0392837563871254
10007200          -121923395750.782  -90195687326.6877  29260664.0703001  17209.5895466704  -24062.2276448742  -0.0706448779137278
10008100          -121907906457.425  -90217341856.4124  29260546.8873177  17211.0466309594  -24058.943174948  -0.191690363240114
10009000          -121892415895.718  -90238993412.4165  29260315.4130402  17212.407471398   -24055.6187367333  -0.324787855875445
10009900          -121876924154.004  -90260641956.9459  29259958.3502224  17213.6682158647  -24052.2503071583  -0.470952117496356
10010800          -121861431324.139  -90282287448.4548  29259463.4501453  17214.8249239124  -24048.8334783783  -0.631283856187664
10011700          -121845937501.555  -90303929841.2448  29258817.4322933  17215.8735829843  -24045.3634235768  -0.806976378173642
10012600          -121830442785.323  -90325569085.071  29258005.8979201  17216.8101291787  -24041.8348606426  -0.999322505084556
10013500          -121814947278.183  -90347205124.7155  29257013.2372952  17217.6304733727  -24038.2420138784  -1.20972168984172
10014400          -121799451086.556  -90368837899.5252  29255822.5304896  17218.330533617   -24034.5785740042  -1.4396872369479
10015300          -121783954320.519  -90390467342.9132  29254415.4416634  17218.9062748271  -24030.8376568516  -1.69085349912866
10016200          -121768457093.741  -90412093381.8223  29252772.106949   17219.3537568996  -24027.0117613214  -1.96498288077154
10017100          -121752959523.373  -90433715936.1508  29250871.0161981  17219.6691924894  -24023.0927273897  -2.26397242843756
10018000          -121737461729.881  -90455334918.1413  29248688.8890856  17219.8490157681  -24019.0716952106  -2.58985972874489
10018900          -121721963836.812  -90476950231.7329  29246200.5463454  17219.8899635455  -24014.9390666812  -2.94482776339245
10019800          -121706465970.475  -90498561771.8813  29243378.7772648  17219.789170156   -24010.6844712125  -3.33120828946605
10020700          -121690968259.542  -90520169423.85   29240194.2049927  17219.5442774703  -24006.2967378894  -3.75148322060676
10021600          -121675470834.532  -90541773062.4815  29236615.1517363  17219.1535612641  -24001.7638767089  -4.20828338221057
10022500          -121659973827.174  -90563372551.4554  29232607.5065305  17218.6160749319  -23997.073072142  -4.70438390401395
10023400          -121644477369.643  -90584967742.5488  29228134.5989826  17217.9318111392  -23992.2106928757  -5.24269540055048
10024300          -121628981593.629  -90606558474.9143  29223157.0832055  17217.1018814189  -23987.1623222118  -5.82624998094912
10025200          -121613486629.246  -90628144574.3958  29217632.8370604  17216.1287128995  -23981.9128142067  -6.45818103436466
10026100          -121597992603.752  -90649725852.909  29211516.8828133  17215.0162602591  -23976.4463811682  -7.14169566983036
10027000          -121582499640.075  -90671302107.9175  29204761.3363299  17213.7702295995  -23970.7467185001  -7.88003866764727
10027900          -121567007855.132  -90692873122.0393  29197315.3929495  17212.3983092109  -23964.7971730102  -8.67644684589619
10028800          -121551517357.944  -90714438662.8273  29189125.3591085  17210.9104001568  -23958.5809605399  -9.53409288683023
10029700          -121536028247.539  -90735998482.7697  29180134.7395357  17209.3188372994  -23952.0814379913  -10.4560179323145
10030600          -121520540610.676  -90757552319.5607  29170284.3902885  17207.6385889172  -23945.2824333735  -11.4450526738372
